Hour,Buyer/Seller,Gmin [Wh],Gmax [Wh],Dmin [Wh],Dmax [Wh],w,z
1,1,0,202,0,377,4,1
2,1,0,410,0,297,1,1
3,1,0,1174,0,252,2,1
4,1,0,2514,0,200,1,1
5,1,0,3051,0,241,2,1
6,1,0,2771,0,253,2,1
7,1,0,1644,0,302,3,1
8,1,0,1887,0,405,4,1
9,1,0,2429,0,3313,3,1
10,1,0,1251,0,3241,4,1
11,1,0,200,0,3018,1,1
12,1,0,12,0,868,3,1
13,1,0,6,0,3712,2,1
14,1,0,11,0,3904,4,1
15,1,0,9,0,2993,1,1
16,1,0,7,0,2598,2,1
17,1,0,5,0,2162,4,1
18,1,0,4,0,2249,4,1
19,1,0,4,0,1949,4,1
20,1,0,2,0,777,1,1
21,1,0,4,0,1466,2,1
22,1,0,2,0,937,3,1
23,1,0,4,0,1655,2,1
24,1,0,32,0,1562,4,1
25,1,0,550,0,227,3,1
26,1,0,1607,0,243,2,1
27,1,0,2218,0,230,4,1
28,1,0,2565,0,126,2,1
29,1,0,2996,0,151,2,1
30,1,0,3035,0,250,2,1
31,1,0,3270,0,255,4,1
32,1,0,2886,0,361,1,1
33,1,0,1695,0,3390,3,1
34,1,0,808,0,3305,1,1
35,1,0,223,0,3214,2,1
36,1,0,9,0,1009,4,1
37,1,0,4,0,2752,2,1
38,1,0,4,0,2574,4,1
39,1,0,8,0,3124,2,1
40,1,0,8,0,2345,3,1
41,1,0,6,0,2267,2,1
42,1,0,4,0,1390,2,1
43,1,0,4,0,1285,2,1
44,1,0,3,0,904,1,1
45,1,0,4,0,1448,4,1
46,1,0,4,0,1056,4,1
47,1,0,3,0,1176,2,1
48,1,0,33,0,1387,4,1
49,1,0,270,0,730,1,1
50,1,0,653,0,163,2,1
51,1,0,1862,0,262,2,1
52,1,0,3127,0,196,3,1
53,1,0,3275,0,203,3,1
54,1,0,2939,0,1007,3,1
55,1,0,3352,0,227,3,1
56,1,0,2895,0,3017,4,1
57,1,0,1608,0,2676,3,1
58,1,0,979,0,2623,1,1
59,1,0,276,0,2255,1,1
60,1,0,13,0,1601,2,1
61,1,0,6,0,2229,3,1
62,1,0,7,0,2487,4,1
63,1,0,8,0,2992,2,1
64,1,0,5,0,1826,4,1
65,1,0,5,0,1695,3,1
66,1,0,5,0,1815,3,1
67,1,0,5,0,1409,1,1
68,1,0,3,0,1066,2,1
69,1,0,2,0,906,4,1
70,1,0,4,0,1623,2,1
71,1,0,3,0,943,2,1
72,1,0,45,0,415,3,1
73,1,0,566,0,193,2,1
74,1,0,1562,0,157,4,1
75,1,0,1542,0,242,4,1
76,1,0,2925,0,237,4,1
77,1,0,3012,0,176,1,1
78,1,0,3436,0,206,3,1
79,1,0,2969,0,240,4,1
80,1,0,2694,0,225,2,1
81,1,0,2209,0,3282,2,1
82,1,0,756,0,3233,4,1
83,1,0,226,0,1933,4,1
84,1,0,13,0,2368,4,1
85,1,0,3,0,797,1,1
86,1,0,7,0,2583,3,1
87,1,0,8,0,3094,1,1
88,1,0,9,0,2606,3,1
89,1,0,9,0,2176,4,1
90,1,0,4,0,1974,1,1
91,1,0,3,0,786,3,1
92,1,0,2,0,800,4,1
93,1,0,3,0,1144,2,1
94,1,0,3,0,1085,2,1
95,1,0,3,0,1617,2,1
96,1,0,36,0,924,1,1
97,1,0,424,0,194,1,1
98,1,0,1447,0,239,3,1
99,1,0,2511,0,164,2,1
100,1,0,2929,0,259,2,1
101,1,0,3071,0,276,2,1
102,1,0,3254,0,697,3,1
103,1,0,3341,0,530,1,1
104,1,0,2644,0,2085,4,1
105,1,0,1612,0,4107,4,1
106,1,0,857,0,3161,4,1
107,1,0,187,0,3775,3,1
108,1,0,10,0,4306,1,1
109,1,0,7,0,2501,2,1
110,1,0,6,0,2339,2,1
111,1,0,8,0,3101,2,1
112,1,0,7,0,2356,3,1
113,1,0,6,0,2090,3,1
114,1,0,2,0,744,1,1
115,1,0,2,0,1030,3,1
116,1,0,4,0,1548,3,1
117,1,0,2,0,769,4,1
118,1,0,0,0,212,2,1
119,1,0,4,0,1954,2,1
120,1,0,30,0,166,1,1
121,1,0,456,0,162,2,1
122,1,0,1740,0,250,3,1
123,1,0,2552,0,177,1,1
124,1,0,3182,0,272,3,1
125,1,0,3324,0,3685,3,1
126,1,0,3535,0,4027,2,1
127,1,0,3214,0,2387,1,1
128,1,0,2683,0,1675,4,1
129,1,0,2108,0,2555,1,1
130,1,0,1028,0,2538,1,1
131,1,0,181,0,2140,2,1
132,1,0,7,0,1414,4,1
133,1,0,4,0,2244,2,1
134,1,0,5,0,4279,1,1
135,1,0,7,0,4637,2,1
136,1,0,4,0,1887,1,1
137,1,0,3,0,1695,1,1
138,1,0,3,0,1347,2,1
139,1,0,1,0,813,1,1
140,1,0,1,0,917,3,1
141,1,0,3,0,1279,2,1
142,1,0,1,0,451,1,1
143,1,0,1,0,1028,1,1
144,1,0,30,0,816,3,1
145,1,0,446,0,162,4,1
146,1,0,1688,0,867,1,1
147,1,0,2550,0,238,3,1
148,1,0,3155,0,130,2,1
149,1,0,3433,0,264,2,1
150,1,0,3455,0,280,1,1
151,1,0,3258,0,2666,2,1
152,1,0,2821,0,2401,2,1
153,1,0,2201,0,3022,1,1
154,1,0,911,0,5679,4,1
155,1,0,150,0,2353,2,1
156,1,0,5,0,2366,2,1
157,1,0,6,0,3152,1,1
158,1,0,6,0,1923,3,1
159,1,0,8,0,3037,2,1
160,1,0,4,0,1810,4,1
161,1,0,4,0,2013,3,1
162,1,0,3,0,1801,3,1
163,1,0,3,0,1731,2,1
164,1,0,4,0,1594,2,1
165,1,0,3,0,1020,3,1
166,1,0,2,0,1032,4,1
167,1,0,2,0,1063,1,1
168,1,0,11,0,328,2,1
169,1,0,318,0,248,2,1
1,2,0,882,0,321,2,1
2,2,0,379,0,444,4,1
3,2,0,676,0,502,3,1
4,2,0,1186,0,341,2,1
5,2,0,527,0,357,2,1
6,2,0,868,0,350,1,1
7,2,0,663,0,399,1,1
8,2,0,384,0,612,1,1
9,2,0,110,0,937,3,1
10,2,0,6,0,3234,3,1
11,2,0,0,0,3811,2,1
12,2,0,0,0,1324,4,1
13,2,0,0,0,297,4,1
14,2,0,0,0,463,2,1
15,2,0,0,0,343,2,1
16,2,0,0,0,333,4,1
17,2,0,0,0,334,4,1
18,2,0,0,0,331,2,1
19,2,0,0,0,502,3,1
20,2,0,0,0,554,2,1
21,2,0,0,0,311,4,1
22,2,0,0,0,340,1,1
23,2,0,89,0,391,3,1
24,2,0,1320,0,307,4,1
25,2,0,3736,0,742,3,1
26,2,0,2533,0,779,2,1
27,2,0,7887,0,477,2,1
28,2,0,8927,0,408,2,1
29,2,0,8767,0,580,3,1
30,2,0,7851,0,518,4,1
31,2,0,6312,0,585,3,1
